interpreter_make_new: model size = 2488, tensor area = 2064
time step,y
5.120796,-0.906505
5.127080,-0.906505
5.133362,-0.906505
5.139646,-0.914977
5.145929,-0.914977
5.152212,-0.914977
5.158495,-0.914977
5.164778,-0.898033
5.171062,-0.898033
5.177345,-0.898033
5.183628,-0.898033
5.189912,-0.898033
5.196194,-0.898033
5.202478,-0.898033
5.208761,-0.898033
5.215044,-0.821785
5.221328,-0.821785
5.227610,-0.821785
5.233894,-0.821785
5.240176,-0.821785
5.246460,-0.821785
5.252743,-0.821785
5.259026,-0.821785
5.265310,-0.821785
5.271592,-0.821785
5.277876,-0.821785
5.284159,-0.804841
5.290442,-0.804841
5.296726,-0.804841
5.303008,-0.804841
5.309292,-0.754009
5.315574,-0.754009
5.321858,-0.754009
5.328141,-0.754009
5.334424,-0.745537
5.340708,-0.745537
5.346990,-0.745537
5.353274,-0.745537
5.359557,-0.737065
5.365840,-0.737065
5.372124,-0.737065
5.378406,-0.737065
5.384690,-0.728593
5.390973,-0.728593
5.397256,-0.728593
5.403540,-0.728593
5.409823,-0.720121
5.416106,-0.720121
5.422389,-0.720121
5.428672,-0.720121
5.434956,-0.669289
5.441239,-0.669289
5.447522,-0.669289
5.453805,-0.669289
5.460088,-0.669289
5.466372,-0.669289
5.472655,-0.669289
5.478938,-0.669289
5.485221,-0.660817
5.491504,-0.660817
5.497787,-0.660817
5.504070,-0.660817
5.510354,-0.652345
5.516637,-0.652345
5.522920,-0.652345
5.529203,-0.652345
5.535486,-0.652345
5.541770,-0.652345
5.548053,-0.652345
5.554336,-0.593041
5.560620,-0.593041
5.566902,-0.593041
5.573186,-0.593041
5.579469,-0.576097
5.585752,-0.576097
5.592036,-0.576097
5.598318,-0.576097
5.604602,-0.567625
5.610884,-0.567625
5.617168,-0.567625
5.623451,-0.567625
5.629734,-0.584569
5.636018,-0.584569
5.642300,-0.584569
5.648584,-0.584569
5.654866,-0.533737
5.661150,-0.533737
5.667433,-0.533737
5.673716,-0.533737
5.680000,-0.525265
5.686282,-0.525265
5.692566,-0.525265
5.698849,-0.525265
5.705132,-0.516793
5.711416,-0.516793
5.717698,-0.516793
5.723982,-0.516793
5.730265,-0.482904
5.736548,-0.482904
5.742832,-0.482904
5.749114,-0.482904
5.755398,-0.491376
5.761681,-0.491376
5.767964,-0.491376
5.774248,-0.491376
5.780531,-0.440544
5.786814,-0.440544
5.793097,-0.440544
5.799380,-0.440544
5.805664,-0.423600
5.811947,-0.423600
5.818230,-0.423600
5.824513,-0.415128
5.830796,-0.415128
5.837079,-0.415128
5.843362,-0.415128
5.849646,-0.415128
5.855929,-0.415128
5.862212,-0.415128
5.868495,-0.415128
5.874778,-0.406656
5.881062,-0.406656
5.887345,-0.406656
5.893628,-0.406656
5.899911,-0.355824
5.906194,-0.355824
5.912478,-0.355824
5.918761,-0.355824
5.925044,-0.347352
5.931328,-0.347352
5.937610,-0.347352
5.943894,-0.347352
5.950177,-0.355824
5.956460,-0.355824
5.962743,-0.355824
5.969026,-0.355824
5.975310,-0.338880
5.981592,-0.338880
5.987876,-0.338880
5.994159,-0.338880
6.000442,-0.288048
6.006726,-0.288048
6.013008,-0.288048
6.019292,-0.288048
6.025574,-0.279576
6.031858,-0.279576
6.038141,-0.279576
6.044424,-0.279576
6.050708,-0.262632
6.056990,-0.262632
